,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,zip_code,company_response,timely_response,consumer_disputed
65415,Credit reporting,,Credit reporting company's investigation,Investigation took too long,"I 've sent over XXXX different dispute letters to Experian, and while all the other Credit Bureaus have removed the items from my credit report, Experian refuses to even respond to my dispute letters ( which means every account I disputed should come off XXXX. On top of that, I 've called some of the accounts that are still reporting to Experian, and they told me that they 've already requested that Experian delete them ... But Experian does n't do it.  Please be clear, I am not asking for Experian to now start the disputes on these accounts, I 'm requesting they be deleted, immediately.  Accounts:1 ) XXXX XXXX - Paid before it went to collections - Deleted from XXXX XXXX2 XXXX XXXX XXXX XXXX - Was told by XXXX XXXX that they had already requested the account be deleted from my credit report 4 months ago - Deleted from XXXX and XXXX3 XXXX XXXX XXXX XXXX - Was told by XXXX XXXX that they had already requested the account be deleted from my credit report 4 months ago - Deleted from XXXX and XXXX4 XXXX XXXX XXXX XXXX - Was told by XXXX XXXX that they had already requested the account be deleted from my credit report 4 months ago - Deleted from XXXX and XXXX5 XXXX XXXX XXXX XXXX - Was told by XXXX XXXX that they had already requested the account be deleted from my credit report 4 months ago - Deleted from XXXX and XXXX  ",Experian,WA,98100.0,Closed with explanation,Yes,
65416,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,There is an item listed on my credit file that is unknown. I have tried to request validation and dispute this item and have received nothing. I 'm in need of some help from your agency.  ,"Mariner Finance, LLC",FL,33800.0,Closed with explanation,Yes,
65417,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"A little les than 2 years ago, I was able to get a Shared Appreciation Mortgage modification from Ocwen Loan Servicing ( they had taken over my existing mortgage ). Under that modification our balance was {$390000.00} but they were going to forgive {$110000.00} over a 3 year period ( XXXX each year ) and during that time we would make payments on {$270000.00} @ 2 %. All in all a fabulous deal and since our home now would sell for around {$400000.00} we are depending on it for our retirement in the next 2 years. I am XXXX and my wife is XXXX   A few months after we got the modification, I was diagnosed with XXXX and right after that, XXXX XXXX and then a XXXX. Fortunately, after XXXX, XXXX, I am now XXXX ( for now ) and still have most of XXXX XXXX. However, during the time I was being treated I got behind two payments on my mortgage and have been two payments behind for a year although I have made a full payment each month on time for the past twelve months.   Here is the problem. My modification says that if I am past due three months and are still past due on the last day of the third month, I would be in default. I have attached a page from the modification and the part I am referring to is in paragraph XXXX. In the past year, I have made the monthly payment several times on the last day of the third month by XXXX XXXX and there has never been a problem. Last XXXX ( XX/XX/XXXX ) I sent through XXXX XXXX a full payment to Ocwen which they admit they received but they refused to accept it and sent it back. They said I was XXXX days past due and they ca n't accept any payments after XXXX days. Apparently the problem was caused by XXXX days in XX/XX/XXXX and XX/XX/XXXX so that plus XXXX days in XX/XX/XXXX made XXXX days past due. It is interesting though that I made the XX/XX/XXXX payment the last day of the month as well and they accepted it even though that one was also XXXX days past due just like the XX/XX/XXXX one which they rejected..   I told them what the Agreement says and that nowhere does it say 90 days. Their answer was that when they say 90 days, they assume the end of any third month would be 90 days. YES ... ... they actually said that! I have talked to several people at Ocwen and they all recite the speech about 90 days.They refused to accept my payment based on what they admit is an internal policy of 90 days and it is contrary to the terms of the modification. Also, by accepting a payment that was XXXX days past due in XX/XX/XXXX and then refusing a payment 92 days past due in XX/XX/XXXX, they have contradicted their own policy.  Of course they are now threatening foreclosure if I do n't reinstate the modification with {$7500.00} which I do n't have, or they want me to apply for a new modification. I have several problems with that. First, the original modification was based on the appraised value of our home two years ago. It has gone up since then so with a new modification would be based on a current appraisal and we would probably lose the equity we have. Also, while going through all of the medical problems, we got behind on most of our bills ; not for big amounts but spread over XXXX or XXXX creditors. It probably does n't add up to more than $ 5k total but it looks bad on a credit report so we might not get approved for a new modification.  Our plan was to sell our home this in the next XXXX years and retire with our equity and now we do n't know what to do and all because Ocwen says I was XXXX days late and the document says I was n't.  ",Ocwen,FL,34100.0,Closed,Yes,
65418,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,I am after whatever compensation I am entitled to ; I am a customer of Green Tree Mortgaging ; I am a victim of the XXXX they have been taken to task for  ,Ditech Financial LLC,PA,18600.0,Closed with explanation,Yes,
65419,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Loan Care acquired the servicing on my loan in XX/XX/XXXX. To date, I have been unable to access my account online to set up monthly auto pays. I have called several times only to be told the website is down. I have had to complain vigorously for them to take a phone payment from me AND ALSO waive their phone payment fee of {$15.00} and the fee for paying after the 4th business day after the XXXX of the month. Tonight, When calling again to inquire about their website issues, I was told the site is not down but that Loan Care 's site is not compatible with APPLE/Safari. Nowhere on their statements or web site does it give this warning. I am again after the 4th business day and have had to argue about their attempt to charge me to process on-line and auto draft payments from my savings account. Their fees escalate even higher on the XXXX day. This is a de facto late charge being assessed and does not agree with my note which states payments due on the XXXX and can not be considered late until after the XXXX. I have never been charged by a mortgage servicer for a payment process that is lower in cost and more efficient than mailing checks which is apparently what they want me to do to avoid their inappropriate late fee assessment. I respectfully request CFPB to instruct the servicer they can not charge me fees for "" on time '' payments. The web site issue is another sneaky way for them to catch an unwitting consumer in their process which all seems designed to funnel borrowers into paying additional fees to make on time payments, probably to make up for lost float on payments coming in after the XXXX of the month. That 's probably why they increase after the XXXX day but still before the XXXX day when a late charge is legitimate and permissible per the note ). This is the worst mortgage loan servicer I have encountered in over 30 years and multiple mortgages! Check the online complaint logs ... they are horrible, broadly speaking!  ",Loan Care,MD,20800.0,Closed with explanation,Yes,
65420,Credit card,,Other fee,,I called XXXX XXXX at a XXXX number to purchase airline tickets for travel to XXXX. I was charged a foreign transaction fee by the credit card company. I purchased tickets from a XXXX branch in XXXX Dollars. How can I be charged a fee by the credit card company? I have purchased airline tickets this way before and have n't been charged a fee. Please advise.  ,U.S. Bancorp,MA,1500.0,Closed with monetary relief,Yes,
65421,Credit reporting,,Incorrect information on credit report,Information is not mine,Creditor XXXX XXXX placed a retail credit card into collections that is not mine.  ,"TransUnion Intermediate Holdings, Inc.",NV,89100.0,Closed with explanation,Yes,
65422,Credit reporting,,Credit reporting company's investigation,Investigation took too long,"I have submitted information that proves that fraud affected my account and have asked that the activity was removed. I got a response from XXXX and they removed the activity, but not from XXXX and TransUnion in a timely matter resulting to me not being able to get a house for my family. I 'm very disappointed and really need some results.  ","TransUnion Intermediate Holdings, Inc.",CA,91600.0,Closed with explanation,Yes,
65423,Credit reporting,,Incorrect information on credit report,Account terms,"My current balance is currently : {$540.00} The account is showing that my balance is currently : {$1400.00}, which is highly incorrect. I am requesting this account be investigated or the account be validated | verified.  ","TransUnion Intermediate Holdings, Inc.",TX,77200.0,Closed with explanation,Yes,
65424,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"Fin Crt Nwt Accounts # XXXX & XXXX, are the same accounts. It was on their as XXXX separate accounts at one point. I requested them to be looked at XXXX months ago by credit bureau as duplicates. Financial credit and I have been going around for years. I pay an account. They claim it was for a different account. Give me every excuse in the book why I 'm wrong. I paid on a different account. Then they Make another account look like its a new account when it 's well over XXXX years old if not longer. XXXX women collections staff members are very unprofessional. Talk to you rude and very disrespectful. I had to stop answering my phone due to them raising my XXXX XXXX and getting angry.  ",Financial Credit Network Inc,CA,93300.0,Closed with explanation,Yes,
65425,Bank account or service,Checking account,Deposits and withdrawals,,i went to deposit my checks on XXXX/XXXX/2016 .The teller informed me the checks were on a 15 day hold because they were from out of town. i informed here XXXX was a gemeral motors penison check and i have been banking here for over 25 years. teller stated she would have to get her boss ( supervisior XXXX refused to give me her last name ) her supvisior informed me i had too many bounched checks but i tried to explain to her if she put the checks into the bank i wouldnt have bounced and she informed me if i took care\ of my finances i wouldnt have bounced checks. i work with the public and if i talked to a customer like she did i wouldnt have a job. i am so upset i am changing banks after 25 years she dosnt know why my finances are perfect or why occ i have a bounched checks thank you  ,Commerce Bank,MO,64100.0,Closed with monetary relief,Yes,
65426,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,XXXX was paid by XXXX now they are out of business XXXX which i still have and never used have 2 collections on my credit score  ,"TransUnion Intermediate Holdings, Inc.",VA,24400.0,Closed with explanation,Yes,
65427,Bank account or service,Other bank product/service,Using a debit or ATM card,,"I filed a dispute with Bank of America regarding a service I did not receive. The complaint began on XX/XX/XXXX, and each time the response from the bank is the same. I have provided documentation that shows the business did not perform the service, and I stated that the complaint was regarding a service not received. In each response, the bank claims they reviewed the case, but will respond by denying the claim because "" it is not a wrongful post to the account. '' I have provided documentation. I have asked for an explanation for the denial ( an explanation that would apply in this scenario ). I have asked if there is any addtional information that is needed. In every instance, I simply receive the same letter with the same resolve. The company will not do a complete review, and does not provide any resource to speak with a manager. I was told there were no managers in the dispute department. I have tried relentless to speak to management without any resolve. I have asked for clarification on this issue and I do not recieve it. I had my car serviced on XXXX/XXXX/2015 at XXXX in XXXX Florida. I paid XXXX for a fuel pump system. After the car was serviced, it stopped working two days later and had to be towed back to XXXX. XXXX kept my car for almost two weeks, and I was told the part that was put on was defective. Again, when the car was returned to me, the car stopped running a few days later and had to be towed. The car has not been fixed since its release date on XXXX/XXXX/2015. I notified Bank of America and filed a legitimate dispute. The response is "" we do not find an error in the post to the account. '' I have received this response XXXX times and 120 days later, Bank of America 's dispute department has yet to clearly identify that my complaint/dispute is for a service that I did not receive.  ",Bank of America,FL,34700.0,Closed with explanation,Yes,
65428,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I received a service from XXXX XXXX. They did not correctly bill the insurance company. The insurance company and I have contacted them on several occasions to get them to submit the bill correctly. Alternatively, I can submit the bill, but the bill that XXXX XXXX is sending me is for a service that I did not receive at a price that has not been submitted to the insurance agency. To date they have not billed the insurance agency at the proper address. I was telephonically contacted by American Collections XXXX regarding this debt. When they contacted me I advised them that they needed to contact me in writing and that the debt was not valid. To date they have not contacted me in writing and they have submitted this debt to the credit agency. I contacted Washington XXXX XXXX several. They state that they can not issue a letter stating that the debt was erroneously sent. When I reviewed the debt with the insurance agency it became apparent that they were billing me for services that had not been received. The insurance company has been made aware of this but as the agency is refusing to bill them for the services the matter is not insurance fraud.  ","American Collections Enterprise, Inc.",MD,20700.0,Closed with explanation,Yes,
65429,Credit card,,Customer service / Customer relations,,"Recently, I filed a dispute with XXXX in regards to my XXXX XXXX XXXX credit card. XXXX was reporting the account on my credit bureau twice and had an incorrect balance ( {$14000.00} ). On XXXX/XXXX/XXXX XXXX sent an update to the bureau 's that removed XXXX of the duplicate accounts from my credit file, however the failed to update the correct balance and payment history on my account, but put that the updated information was as of XXXX/XXXX/XXXX making it appear to other creditors that I had not made a payment on my account since XXXX of XXXX resulting in my account being 4 months past due. This caused another lender to significantly reduce my credit line less then 48 hours after the update XXXX sent to the bureaus. I called XXXX to get this resolved, I spoke with XXXX representatives from the XXXX XXXX XXXX ( XXXX XXXX XXXX ). Both informed me that I needed to fill out there disputes form and mail it in with a complete copy of my credit report. I informed them that I have already filed the dispute with the credit bureau directly and that under the fair credit report act / FACT ACT I have met my regulatory requirement in filing the dispute and that I do not have access to a printer. In order for me to complete there form and send them my report I would have to travel XXXX minutes to the nearest FedEx to print the form and report which is XXXX pages long which would cost me near {$10.00} in just printing charges and then additional charges to ship it, not to mention the XXXX hours I have now spent on the phone trying to get this resolved and an additional XXXX minutes each way just to the store. This is highly unacceptable. I have met my legal requirement to get this matter resolved. I scanned into there system the paperwork and evidence that they require for resolution which is above and beyond the legal requirement to get this corrected. They have caused adverse action to be taken against me within XXXX hours of there mistake and could cause additional adverse action to be taken that XXXX not be reversible. I am already being told that additional inquiries will be necessary in order to reverse the adverse action once the correction has been made by XXXX which will further deteriorate my credit score.   XXXX made not XXXX but XXXX mistakes, and after following the proper legal course of action they do not wish to own up to there mistake and fix it with out causing additional delays and potential damage to me. No other financial institution has this requirement, it is not a requirement mandated by any law. They need to fix there broken process and correct there error immediately.  ",USAA Savings,WI,53100.0,Closed with explanation,Yes,
65430,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,Tried to get a free copy of my credit report from all XXXX credit reporting agencies using the website XXXX. Only received credit Report for TransUnion. XXXX and XXXX did not provide their reports. And Transunion did not provide a credit score.  ,"TransUnion Intermediate Holdings, Inc.",TX,75000.0,Closed with non-monetary relief,Yes,
65431,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"have written XXXX letters to the credit bureaus in which I requested these inaccuracies be removed.  Unfortunately, the credit bureaus have refused to comply with my requests. The inaccuracies are as follows : Bureau : Transunion Account Name : XXXX XXXX Account Number : XXXX XXXX Bureau : Transunion Account Name : XXXX Account Number : XXXX Bureau : Transunion Account Name : XXXX XXXX Account Number : XXXX Bureau : Transunion Account Name : XXXX XXXX Account Number : XXXX Bureau : Tarnsunion Account Name : XXXX XXXX Account Number : XXXX Bureau XXXX Account Name : XXXX XXXX Account Number : XXXX  ","TransUnion Intermediate Holdings, Inc.",MD,20900.0,Closed with non-monetary relief,Yes,
65432,Money transfers,Domestic (US) money transfer,Incorrect/missing disclosures or info,,"Requested subpoenaed records from Bank of America on Intestate Account of decedent for XXXX County Georgia Probate hearing. BOA did not send records to the requestor, instead sent records to XXXX County Probate, they in turn redacted and presented records to requestor that were erroneous and not full record. BOA as an institution should have records on all wire transfer of funds an XXXX Account. Instead records have been suppressed, not presented under court subpoena and has allowed the Court Administrator 's interest and defrauding of the BOA XXXX Account of decedent  ",Bank of America,GA,30000.0,Closed with non-monetary relief,Yes,
65433,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"My complaint is against Bank of America and their handling of my mom 's payable upon death accounts. My brother, sister and I were told over the phone to come in, bring the death certificate, identification and we would be issued a check for our money at that time. Instead, when we arrived and filled out the appropriate paperwork and provided identification, they informed us that we had to wait 15 days for their legal department to review our request. They would n't say why they needed to review, but they just needed to review as "" policy ''. After we objected, they said they could get us our money in 3 days. But that 's not what we were told over the phone. But it does n't start here ... when our mother tried to set up the beneficiaries for this account years ago she was told everything was set, but was always curious why not all our names were on the account. We brought this up at a branch in Florida and they said that "" all the names did not fit on the line but that it 's set ''. Upon further questioning, it turns out the account was set up incorrectly, and not all our names were on there. After hours of trying to get a straight answer, and dealing with rude people, the account was set up correctly. And then she passed about five months later. Shortly after, our brother who is the trustee of the accounts, went to see the procedure to get the money at a B of A located in XXXX XXXX, XXXX. He was given a form to fill out, but then the bank representative refused to notorize it, claiming "" we were not a customer of the bank ''. You meant to tell me that having more than $ XXXX in our names does not count for being a customer of a bank?? The service and ineptitude at B of A, in their XXXX, XXXX branch, their XXXX XXXX, IL branch and their XXXX XXXX branch is appaling. And what 's their resoning to keep our money for 15 days as part of "" policy ''? We went to the XXXX XXXX XXXX where our mom had $ XXXX and we went right up to the teller and she gave us our money. I understand credit unions are supervised by another regulator, but the Federal Reserve should look into this "" policy '' of B of A -- and what 's that policy bringing them -- probably millions of dollars in banking revenue for them. They have no right to put a so-called "" hold '' on our money.  ",Bank of America,IL,60000.0,Closed with explanation,Yes,
65434,Credit reporting,,Incorrect information on credit report,Account status,"On XXXX XXXX, XXXX I was notified by Experian that my credit score had dropped significantly. When I checked into this, I found that a credit union which I settled with in court re-reported my account as 2 years past due. After seeing this, I contacted Experian to dispute this report.  In XXXX, I took out a personal loan through my credit union. Towards the end of XXXX I ran into financial difficulty and could not afford to pay my debt back. In XXXX, my credit union reported my derogatory status and closed the account on my credit report. That same year they filed a judgement against me, which I ended up satisfying in XXXX. I have court documents stating this settlement. Now it 's XXXX and this credit union is just reporting that they charged off the account and are showing non payment for XXXX - XXXX. Because of this it has dropped my credit score XXXX points. Can you help in with this incorrect credit reporting?  Regards!  ",Experian,CT,6700.0,Closed with non-monetary relief,Yes,
65435,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,"On XX/XX/XXXX I was contacted by XXXX XXXX from XXXX XXXX Law Office, located in XXXX XXXX, CA. He stated that he was attempting to collect on a judgment in the amount of XXXX. This is the amount that they reported to the credit bureau. He stated the judgment was for XXXX, however, per the court records ( I verified on XX/XX/XXXX ), the judgment was for XXXX, which included the full debt amount, punitive damages of XXXX and attorney 's fees of XXXX. He stated that they added their judgment filing fees and court costs and fees and that the last time it increased was in XX/XX/XXXX, raising the amount to XXXX I believe that he has violated the FDCPA by misrepresenting the amount of the judgment, and the amount owed, and also by sending false information to the credit bureau.  I am deeply concerned that they will continue to add fees once the debt is negotiated and/or settled.  ",Capital One,TX,75000.0,Closed with explanation,Yes,
65436,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"I am unable to receive my LexisNexis C.L.U.E . Auto report. I thoroughly filled out the company 's request form, leaving nothing blank. In addition, I supplied a copy of my social security card ( Category A identification requirement ) and my auto insurance declaration page ( Category B address verification for mailing address ). I live between the United States and XXXX with my mailing address ( not physical address ) at a border town, but my submitted insurance declaration page reflects this mailing address. I 've met the LexisNexis requirements and yet their generic letter states I did not meet their verification process and that the request form was incomplete / illegible. None of this is true. There is no means to contact a human being at LexisNexis. My consumer number is XXXX and my case number is XXXX.  ",LexisNexis,WA,98200.0,Closed with explanation,Yes,
65437,Bank account or service,Checking account,Using a debit or ATM card,,"I made an ATM deposit last week thursday, XXXX XXXX. The Capitalone ATM malfunctioned, ate my cash and card. Capitalone 360 reps first stated that within 1-2 business days it will be resolved. It has still not been resolved. The bank is now stating it will take 45 days to resolve.  ",Capital One,NY,11200.0,Closed with explanation,Yes,
65438,Debt collection,Medical,Communication tactics,Frequent or repeated calls,"I receive collection calls throughout the day to my work cell phone number from an automated system representing themselves as "" MAURY COBB ATTORNEY AT LAW LLC '' attempting to collect a debt. The automated message states my full name on the recording which is a HIPAA violation. A call back number of XXXX is given however when I attempt to call back it states the person at ext XXXX is not available and to leave a message. This is a business number and I need this to stop immediately.  ","Maury Cobb, Attorney at Law, LLC",TX,77000.0,Closed with explanation,Yes,
65439,Mortgage,Home equity loan or line of credit,Settlement process and costs,,"I am attempting to sell my home and the closing date is set for XXXX XXXX, XXXX. Key Bank holds the second mortgage on the property I am attempting to sell. This is my second complaint that about Key Bank ( my initial complaint XXXX, dated XXXX/XXXX/XXXX ). Please refer to that complaint to provide a full context. I went under agreement to buy a new home, and to sell my current residence, in XXXX XXXX. Key Bank, for four months, was refusing to provide documentation that was being requested by my lender, and was the sole reason I was unable to obtain a mortgage commitment by the date set forth in the agreement of sale. They only provided the documentation as a result of my complaint with the CFPB. I was able to obtain a mortgage commitment for a new home, but, as a result of the refusal of Key Bank to cooperate, I am having trouble getting to closing on the property I am attempting to sell. After I lost my original buyer on XXXX XXXX, XXXX, I called Key Bank to arrive at a settlement amount. I am eligible to do so because I filed a Ch XXXX bankruptcy in XXXX, and Key Bank is my second mortgage. I needed to settle with Key Bank because I have new buyers that are paying significantly less for my property. Please note that the original buyers ( i.e. that walked away on XXXX ) were paying enough for the home to enable me to pay back Key Bank in full. I only needed a settlement amount because of Key Bank 's past refusal to cooperate, and I only need an extension because of Key Bank 's past refusal to cooperate ( the subject of my initial complaint ). I currently have a settlement agreement with Key Bank that is valid until XXXX/XXXX/XXXX. The buyers of my home can not close until XXXX XXXX, XXXX -- after the settlement date runs out. I have been informed by Key Bank that I can pay after XXXX/XXXX/XXXX, but that is not acceptable to the closing services company who is attempting to ensure there are no outstanding liens on my home after the closing. They need it in writing, which Key Bank, at the time of this writing, is refusing to do ( even though they have given my a verbal acceptance, and have it attached as a "" note '' to my account.  ",KeyBank NA,PA,18000.0,Closed with non-monetary relief,Yes,
65440,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I have used Union Bank of California services for almost 20 years. Most of this time and most of the banking I did on-line. This XX/XX/XXXX all of a sudden many functions of their site stopped working. As usual, I wrote to the customer support. They responded with some general assurances but nothing changed. I contacted them again to no avail. After a few exchanges of the kind they stopped answering. So, I went to the branch I usually work with. They could n't figure out what was going on and referred me to their "" Customer Advocacy Group. '' OK, a representative of "" the group '' found me and after a considerably long conversation over the phone promised to contact IT department ( finally! ). After another few days they called again and informed me that the site for on-line banking was upgraded and from some moment on supports only windows or XXXX operating systems on the client side. I use linux distributions for many years and for good reasons. Linux OS is fast, stable, reliable, and secure. Linux is not susceptible for viruses and other malware. Why the bank feels entitled to discriminate me and force to switch to OS I really hate? Or should I turn back to paper banking? Why do they do this? What is the big idea? I could not get any answer. I suspect it could be something really fishy like a trust with XXXX which is infamous for that kind of deals.  PS. I do n't mind my name being published. Actually, I prefer to be named.  ",Union Bank,CA,94000.0,Closed with explanation,Yes,
65441,Credit card,,Customer service / Customer relations,,I had an HSBC credit card that was charged off in 2007. The credit limit was {$500.00} and the high balance was {$790.00}. HSBC sold this debt to someone else. They are continuing to report this account on my credit report after 8 years? This was supposed to have been removed last year. This is doing severe damage to my credit report.  ,HSBC North America Holdings Inc.,NJ,7400.0,Closed with explanation,Yes,
65442,Bank account or service,Checking account,Using a debit or ATM card,,"My Bank of America Debit card was replaced due to the bank being notified of a potential compromise to my card in XX/XX/XXXX.   I had a automatic renewal with XXXX XXXX XX/XX/XXXX, prosessed on my old debit card number ( COMPERMISED ).  I received a letter of renew from XXXX XX/XX/XXXX concerning renewal of the service. I returned invoice marked do not renew. They processed the renewal with OLD Debit number and Bank of America processed it through using new Debit card. Per their service rep, XXXX will allow as a courtesy one time. I do not want any bank or CC company providing access to my funds if the merchant does n't have correct information  ",Bank of America,TX,75000.0,Closed with explanation,Yes,
65443,Credit card,,Other,,"I was recently informed by my Daughter XXXX XXXX who had used XXXX of your Shell credit cards that there is still a late payment entry on my Credit Report.  I had written to you over a year ago and asked you to correct this entry since the lateness was due to your billing problems not my paying my Shell bills on time.  I have always paid my Shell Credit card bills on time since I opened the account. Then Shell sent us new credit cards with new expiration dates like all credit card companies do every XXXX-3 years. But in your case the new credit card was not linked to the old account online. So when I logged in to pay my bills, I was only able to view the balance for the new credit card, not the older card which still had a balance. Dispite the fact that I was make regular online payments, they were all go to the new card and nothing was paying off the old card. Meanwhile the old card had about a {$100.00} balance on it. Suddenly I am told that I am several months overdue on the old card which never apperas on the online account. This is despite making regular in full payments to the new card.  Since then you have corrected the problem and several months after my issue, both balances started appearing on the online account.  I have asked them twice to correct this problem.  ",Citibank,NY,11700.0,Closed with explanation,Yes,
65444,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"For over the past XXXX months we have received continued harrassing calls from Collection Bureau of the Hudson Valley sks CBHV ( phone number XXXX ) asking for someone who has NEVER lived here ( we are the XXXX owners and know the previous owners ). I asked them to remove my phone number over and over ( XXXX times ) and they state that they will, but we continue to get calls. We did again today and I informed that I would report them to the New York Attorney General 's Office. They stated "" You go right ahead and see what happens to you. '' I replied "" I consider that a threat on my life. '' They said "" You can take it however you want. '' I called the N.Y. Attorney General 's office and was appalled. They stated "" We do n't care what collection agencies do in our state and we have no oversight to them. '' I was totally taken off guard. When I attempted to XXXX the company to go to their website, the New York Attorney General 's name came up. It is obvious that he/she is somehow connected ed with this company and is attempting to coverup their scamming consumers instead of being concerned for consumers. Therefore, I wish that not only the company, but the NY Attorney General 's Office be investigated by not only your agency but also the FBI and/or Homeland Security.  ","Collection Bureau of the Hudson Valley, Inc.",OH,44000.0,Closed with non-monetary relief,Yes,
65445,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,"First they called me and left an unintelligible message. The next day they called my XXXX mother in another state and told her there was a warrant for my arrest. Then I called the number and was repeatedly transfered receiving different information at each step, "" it was a subpoena, '' it was a "" civil suit. '' Finally was transfered to "" director of litigations XXXX XXXX '' who belittled, insulted, and implied they would sue me, trying to extort at least {$200.00} before I finally hung up.  ",HSBC North America Holdings Inc.,FL,32800.0,Closed with explanation,Yes,
65446,Credit reporting,,Incorrect information on credit report,Account terms,"Equifax Dispute : Account that should be closed, but is reported as open in my Equifax report, in error : XXXX XXXX.  StudentXX/XX/XXXX XXXX, XX/XX/XXXXOpen - Collection/Charge-OffXXXX Missed Payments $ XXXX that are current, but are reported as missing payments in my Equifax report XXXX although they are current and receiving {$330.00} dollars a month : XXXX BANK - STUD StudentXX/XX/XXXX XXXX, XX/XX/XXXXOpen - Collection/Charge-OffXXXX Missed Payments $ XXXX BANK - STUD StudentXX/XX/XXXX XXXX, XX/XX/XXXXOpen - Collection/Charge-OffXXXX Missed Payments $ XXXX XXXX Past Due $ XXXX XXXX XXXX Past Due $ XXXX XXXX XXXX XXXX Due $ XXXX XXXX Past Due $ XXXX XXXX XXXX XXXX XXXX XXXX these loans above are part of the XXXX loan and need to be closed, as they are now part of the XXXX total sum, which is {$45000.00} dollars. These loans have all been consolidated into XXXX loan serviced by XXXX shown below : XXXX StudentXX/XX/XXXX XXXX, XXXX - CurrentNo Missed Payments {$45000.00}  ",Equifax,MA,2100.0,Closed with non-monetary relief,Yes,
65447,Credit reporting,,Incorrect information on credit report,Account status,i look at my credit report and it shows a report on exprian that still on there system but all other credit bureaus is not there and removed it because it was paid and and updated from please please please have them remove this incorrect report wish i have documents that i payed  ,Experian,NY,10400.0,Closed with explanation,Yes,
65448,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,in XX/XX/XXXX a collection acct showed up on my credit reports from eos cca. In XX/XX/XXXX I contacted the company through the phone # listed on my report after not receiving a dunning notice. I advised this is not my account and I do not owe their company and asked them not to report to which they responded by hanging up on me. I called back and spoke with a supervisor and explained again this is not my account and that I would need to start recording the call which was met with the same fate of the survivor hanging up on me. I then contacted XXXX and they stated they had no information in regards to me owing any amount to them. I then contacted eoa cca to advise what I 'd learned from XXXX only to receive rude and accusatory comments. I did n't not reside in the state that the representative said the account was in.  Persistent attempts to collect debt that the consumer did not owe.  Improper communication tactics.  False statements or misrepresentations.  Failure to disclose information that would allow the consumer to verify the debt.  ,"EOS Holdings, Inc.",GA,30200.0,Closed with explanation,Yes,
65449,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,XXXX XXXX and Roundtwo Recovery are reporting debt on the same account. The account was paid XXXX 2014 to XXXX XXXX. I have supporting documentation to support my claim. I have faxed this information to all credit bureaus including Roundtwo Recovery and each time I am told my information has not been received. I also mailed documentation to XXXX and XXXX via XXXX still with no result. I have done the responsible thing by paying my debt and yet it shows that I still owe on this debt.  ,Round Two Recovery,LA,70800.0,Closed with explanation,Yes,
65450,Prepaid card,General purpose card,"Managing, opening, or closing account",,"I applied and received a secured credit card from "" HSBC BANK '', around XXXX, XXXX. After Closing account by phone notification, and offsetting credit balance by sufficient security funds held by HSBC BANK I deposited for the credit card, HSBC BANK continued to accrue interest and penalties against my credit balance. Years later, I discovered on my credit report an outstanding balance reported by HSBC BANK, and sold to other collection companies to perpetuate an updated date of debt beyond the 7 year limit of the law ( XXXX to XXXX ). I do not owe any principle balance or interest/penalties created by HSBC BANK or collectors that I resolved upon cancelling this credit card. My security more than offset any outstanding balance  ",HSBC North America Holdings Inc.,HI,96700.0,Closed with explanation,Yes,
65451,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"XXXX. I am a retired XXXX. For the past six years I have applied for loans from Bank Of America and XXXX XXXX. to secure financing for XXXX XXXX to help with the Affordable Care Act.Both banks denied the loans. XXXX XXXX 2015 I filed suit against the Bank Of America for inaccurte information they reported to the Credit Bureaus. This discriminatory act violates the Equal Credit Opportunity Act negatively impacting my business plans and giving less access to financing.. The Bank Of America put a lien, a subordinate loan on my property preventing me from using the equity in my home for a loan. I need immediate help and your assistance would be greatly appreciated.  ",Bank of America,CA,90000.0,Closed with explanation,Yes,
